ORIGIN,DEST
IAH,TPA
IND,MCO
ATL,IAH
BOS,RDU
BOS,MCO
FLL,TPA
PIT,FLL
BOS,FLL
TPA,DTW
EWR,IAH
MCO,IAH
MCO,IAH
SEA,LAS
LAX,ORD
BWI,TPA
RIC,MCO
SAN,IAH
SJU,MCO
ORD,DFW
DFW,DEN
DEN,DFW
RSW,ACY
CLE,RSW
JFK,MSP
HNL,LAX
DTW,ATL
SLC,SJC
SEA,PDX
ATL,SNA
JFK,STT
STT,JFK
LAX,IND
DTW,PBI
PBI,DTW
SFO,SLC
SLC,SFO
ATL,SJU
ATL,JAX
SLC,HNL
TPA,LAX
ATL,TUS
SLC,SAT
ATL,MKE
SLC,MSP
DTW,AUS
SLC,LAX
ATL,PHX
ATL,PHX
MSY,LAX
HNL,ATL
ATL,DAL
DAL,ATL
MCO,SLC
HDN,MSP
MCO,ATL
MCO,MSP
MSP,MCO
SLC,JAC
ATL,LAX
LAX,SEA
SLC,SNA
SNA,SLC
JFK,SFO
SLC,DTW
SLC,CVG
SLC,SEA
PHX,SEA
SLC,BOS
ATL,LAX
MSP,PHX
LAX,JFK
FAR,MSP
SLC,SEA
ATL,BOS
SLC,LAS
MSP,DFW
PHX,MSP
SJC,SLC
SLC,SJC
ATL,LAX
BOS,DTW
SAN,SEA
SEA,FAI
SFO,SLC
SLC,SFO
DTW,DFW
CMH,ATL
MCO,JFK
MIA,LGA
BIS,MSP
LAX,SLC
ATL,RSW
PIT,ATL
SLC,BWI
SLC,ATL
JFK,BOS
JAX,JFK
SAT,SLC
JFK,MIA
DCA,MSP
MSP,DCA
DTW,SAN
JFK,DEN
DFW,SLC
MSP,SAN
SLC,MSP
SLC,BZN
LAX,DFW
PNS,ATL
ATL,LAX
ATL,TUS
FLL,DTW
SLC,PDX
SJC,SEA
SLC,DFW
RSW,ATL
SLC,SJC
JFK,SAT
JAC,MSP
MSP,JAC
ATL,BUR
BUR,ATL
PHX,SEA
SLC,SNA
SNA,SLC
LAX,ATL
ORD,LGA
MCO,ATL
SLC,GEG
ATL,LAX
JFK,ATL
PHX,JFK
SLC,AUS
CLE,EWR
DEN,LIT
EWR,MSP
DFW,EWR
PWM,EWR
SRQ,IAD
IAH,CLE
PIT,IAH
DEN,DRO
ORD,MSN
PIT,IAH
IAD,SDF
EWR,EYW
EWR,RDU
IAD,EWR
EWR,DFW
IAD,CLT
IAH,ORF
EWR,CMH
SDF,IAH
EWR,CLT
ORD,MCI
SAT,EWR
ORF,IAH
SDF,EWR
FAR,DEN
ONT,SFO
ONT,SMF
ORF,BWI
PBI,ISP
PDX,DEN
PDX,SMF
PHL,BNA
PHX,ABQ
PHX,DEN
PHX,GEG
PHX,LAS
PHX,LAS
PHX,MDW
PHX,OAK
PHX,OAK
PHX,OAK
PHX,ONT
PHX,ONT
PHX,PDX
PHX,RNO
PHX,SAT
PHX,SAT
PHX,SAT
PHX,SEA
PHX,SJC
PHX,SJC
PHX,SLC
PHX,SLC
PHX,SMF
PHX,STL
PIT,ATL
PIT,BNA
PIT,FLL
PIT,RSW
PIT,TPA
PVD,BWI
PWM,BWI
RDU,ATL
RDU,AUS
RDU,DAL
RNO,SJC
RSW,IND
SAN,ABQ
SAN,BNA
SAN,BOI
SAN,BWI
SAN,BWI
SAN,LAS
SAN,OAK
SAN,OAK
SAN,RNO
SAN,SAT
SAN,SFO
SAN,SFO
SAN,SFO
SAN,SMF
SAN,SMF
SAT,DAL
SAT,DEN
SAT,ELP
SAT,HOU
SAT,LAS
SAT,OAK
SAT,TPA
SEA,SJC
SFO,DEN
SFO,LAS
SFO,LAX
SFO,ONT
SFO,SAN
SFO,SAN
SJC,AUS
SJC,LAS
SJC,ONT
SJC,PDX
SJC,PDX
SJC,SAN
SJC,SEA
SJC,SEA
SJC,SEA
SJU,MCO
SLC,BUR
SLC,DAL
SLC,DEN
SLC,DEN
SLC,HOU
SLC,LAS
SLC,LAS
SLC,MDW
SLC,PHX
SLC,PHX
SLC,SJC
SLC,SMF
SMF,BOI
SMF,DEN
SMF,GEG
SMF,LAX
SMF,ONT
SMF,PHX
SMF,SAN
SMF,SAN
SMF,SEA
SMF,SEA
SMF,SEA
SMF,SNA
SMF,STL
SNA,LAS
SNA,OAK
SNA,SMF
STL,ATL
STL,DAL
STL,DAL
STL,DAL
STL,HOU
STL,LGA
STL,MCI
STL,MKE
TPA,AUS
TPA,BHM
TPA,DEN
TPA,HOU
TPA,LAS
TPA,PHL
TPA,SJU
TUL,HOU
ORD,CVG
JLN,ORD
LEX,ORD
ORD,LEX
DFW,GGG
EVV,DFW
DBQ,ORD
ORD,DBQ
BRO,DFW
MTJ,ORD
DFW,BRO
ORD,FNT
ALO,ORD
ORD,SDF
PIA,ORD
FNT,ORD
ORD,FNT
ORD,XNA
MSY,ORD
ORD,MSY
EYW,DFW
ATW,ORD
ORD,ATW
CAE,DFW
CLE,DFW
ORD,DSM
ORD,DTW
GJT,DFW
GRB,ORD
ORD,GRB
CMH,ORD
ORD,CMH
DFW,MSO
ORD,OMA
DFW,MSY
MSY,DFW
DFW,GRR
GRR,DFW
GUC,IAH
CLT,IAH
IAD,SAT
DTW,IAH
HSV,IAH
IAD,DFW
IAH,DAY
DFW,IAH
IAH,BHM
ATL,IAH
FLL,IAD
IAH,MFE
DFW,IAH
IAH,MEM
IAD,SAV
DTW,IAH
PHL,IAH
IAH,ICT
XNA,IAH
AUS,IAD
IAH,STL
IAH,DFW
IAH,PNS
IAH,BHM
TUL,IAH
ELP,IAH
DFW,IAH
PNS,IAH
IAH,BTR
OKC,IAH
IAH,AUS
CAK,IAH
ECP,IAH
ATL,IAH
IAH,PNS
OGG,SFO
OGG,SJC
HNL,OAK
KOA,LAX
OGG,HNL
CLT,CRW
DCA,JAN
CVG,CLT
SRQ,CLT
CLT,OKC
CLT,XNA
GRR,PHL
DCA,MHT
MHT,DCA
CLT,CHA
CLT,CVG
CLT,AVP
PHL,ORF
ORF,PHL
DCA,HPN
DCA,SAV
CHO,CLT
CLT,CHO
PHL,PHF
CLT,LYH
PHL,MEM
CLT,ROC
CLT,OAJ
OAJ,CLT
PHL,CHA
CLT,CRW
PHF,CLT
LAX,JFK
LAX,ORD
ORD,RDU
CLT,DFW
DFW,LGA
LAX,JFK
ORD,DFW
HNL,ORD
DFW,LAX
LAX,DCA
JFK,CLT
DFW,HNL
OGG,DFW
DFW,SFO
CLT,DCA
DFW,MFE
DFW,JFK
LAX,SFO
SFO,LAX
MIA,CLT
MIA,TPA
MIA,DFW
EWR,ORD
PHX,OMA
LAX,PHL
AUS,PHX
KOA,PHX
CLT,DFW
ORF,CLT
DFW,SAN
PHX,OAK
SFO,PHL
LAX,DFW
PHX,LAS
PHX,ATL
MIA,IAH
PHX,ORD
MCO,PHL
CLT,MIA
LAX,LAS
MIA,JFK
DFW,AUS
PHX,IND
LAS,PHX
DFW,ONT
CLT,SAN
PHL,DFW
LAX,MIA
IAH,PHX
PHX,IAH
CLT,IND
IND,CLT
DFW,JAC
PHX,PHL
JAC,DFW
PHX,RNO
LAX,DFW
LAX,SFO
ONT,PHX
MIA,LAX
STL,MIA
LAX,AUS
PHX,DCA
HDN,DFW
DFW,SLC
SLC,DFW
DFW,STL
DFW,IND
IND,DFW
EWR,DFW
PHX,SFO
LAX,DFW
SFO,LAX
PHL,MCO
MCO,PHL
RSW,ORD
LAS,SEA
MCO,CMH
CLT,BWI
FLL,RIC
MCO,DEN
LAS,SEA
IAH,LAS
LAS,SEA
ORD,BWI
LAX,MFR
SLC,LAX
DFW,SHV
GRB,ORD
ORD,COU
ORD,ABQ
ABQ,ORD
ORD,ABQ
DAY,ORD
ORD,DAY
DTW,ORD
LAX,SLC
ORD,COS
COS,ORD
LAX,TUS
PHX,ASE
EUG,PHX
EWR,ORD
DFW,GNV
GNV,DFW
GRR,ORD
ORD,GRR
PHX,SBP
BNA,DFW
MFR,LAX
LAX,ASE
DTW,ORD
ORD,SLC
EUG,LAX
MKE,ORD
ORD,MKE
CAK,ORD
ORD,CAK
ORD,CHO
EVV,ORD
ORD,EVV
MEI,DFW
SGU,PHX
JAC,LAX
LAX,JAC
LAX,EUG
ROC,ORD
ABQ,ORD
SAF,DFW
